SERIAL_NUM,PASS_FAIL,PROCESS_DATE,SYSTEM_ID,STEP_NAME,CYCLE_TIME
156364632,P,201509161217,CYBOND78,silens,2470.21
156364838,P,201509161344,CYBOND78,silens,2116.51
156364904,P,201509161409,CYBOND78,silens,1475.21
156364938,P,201509161427,CYBOND78,silens,1062.09
156365692,P,201509161639,CYBOND78,silens,907.879
156365738,P,201509161656,CYBOND78,silens,1018.62
156365798,P,201509161719,CYBOND78,silens,1022.93
156365848,P,201509161737,CYBOND78,silens,1070.31
156366138,P,201509161830,CYBOND78,silens,2263.17
156366384,P,201509161905,CYBOND78,silens,1217.29
156366434,P,201509161924,CYBOND78,silens,1134.91
156366470,P,201509161945,CYBOND78,silens,1210.35
156366512,P,201509162002,CYBOND78,silens,1074.02
156395010,P,201509221701,CYBOND78,silens,1224.09
156395090,P,201509221719,CYBOND78,silens,1055.38
