SERIAL_NUM,PASS_FAIL,"TO_CHAR(PROCESS_DATE,'YYYYMMDDHH24MI')",SYSTEM_ID,STEP_NAME,CYCLE_TIME
156242820,F,201508220633,CYBOND63,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1934.08
156237316,P,201508220648,CYBOND60,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1052.42
156228860,P,201508220655,CYBOND3,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1443.8
156226096,P,201508220655,CYBOND58,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1480.59
156221280,P,201508220706,CYBOND55,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1997.58
156237332,P,201508220708,CYBOND60,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1174.3
156228872,P,201508220718,CYBOND3,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1389.52
156228614,P,201508220718,CYBOND14,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",2854.58
156239744,P,201508220718,CYBOND63,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",2451.03
156224932,P,201508220723,CYBOND38,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",3000.84
156237352,P,201508220729,CYBOND60,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1255.25
156228460,P,201508220738,CYBOND3,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1214.94
156212936,F,201508220738,CYBOND55,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1453.53
156199248,P,201508220741,CYBOND59,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1880.97
156197262,P,201508220741,CYBOND14,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1383.03
156239788,P,201508220743,CYBOND63,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1449.69
156237368,P,201508220745,CYBOND60,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",954.563
156244032,P,201508220749,CYBOND58,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",2949.55
156236414,P,201508220751,CYBOND56,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1319.92
156218336,P,201508220800,CYBOND38,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1760.63
156200242,P,201508220803,CYBOND14,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1295.52
156229650,P,201508220808,CYBOND60,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1389.84
156236390,P,201508220812,CYBOND56,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1117.73
156239954,P,201508220815,CYBOND63,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1944.61
156205954,P,201508220818,CYBOND57,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1479.42
156199266,P,201508220818,CYBOND59,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",2268.3
156228496,P,201508220819,CYBOND3,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1458.27
156211014,P,201508220824,CYBOND58,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",2094.03
156199354,P,201508220829,CYBOND14,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1551.42
156229684,P,201508220830,CYBOND60,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1352.02
156240018,P,201508220834,CYBOND63,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1159.53
156218438,P,201508220837,CYBOND38,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",2224.45
156198744,P,201508220840,CYBOND59,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1284.38
156212248,P,201508220851,CYBOND58,"TOSA SUBASSEM3 (SUBASSEM2, SI LENS)",1619.67
