SERIAL_NUM,CARRIER_SITE,PASS_FAIL,PROCESS_DATE,SYSTEM_ID,STEP_NAME,CYCLE_TIME,CHANNEL
156292252,7,P,201509010629,CYTEST1202,POST-PURGE,23,1
156292252,7,P,201509010630,CYTEST1202,POST-PURGE,18,2
156292252,7,P,201509010630,CYTEST1202,POST-PURGE,18,3
156292252,7,P,201509010630,CYTEST1202,POST-PURGE,18,4
156292478,9,P,201509010633,CYTEST1202,POST-PURGE,24,1
156292478,9,P,201509010633,CYTEST1202,POST-PURGE,17,2
156292478,9,P,201509010634,CYTEST1202,POST-PURGE,18,3
156292478,9,P,201509010634,CYTEST1202,POST-PURGE,18,4
156292522,11,P,201509010637,CYTEST1202,POST-PURGE,24,1
156292522,11,P,201509010637,CYTEST1202,POST-PURGE,17,2
156292522,11,P,201509010638,CYTEST1202,POST-PURGE,18,3
156292522,11,P,201509010638,CYTEST1202,POST-PURGE,18,4
156291134,1,P,201509010641,CYTEST1202,POST-PURGE,24,1
156291134,1,P,201509010641,CYTEST1202,POST-PURGE,18,2
156291134,1,P,201509010641,CYTEST1202,POST-PURGE,18,3
156291134,1,P,201509010642,CYTEST1202,POST-PURGE,17,4
156291182,3,P,201509010644,CYTEST1202,POST-PURGE,24,1
156291182,3,P,201509010645,CYTEST1202,POST-PURGE,18,2
156291182,3,P,201509010645,CYTEST1202,POST-PURGE,18,3
156291182,3,P,201509010645,CYTEST1202,POST-PURGE,18,4
156291222,5,P,201509010649,CYTEST1202,POST-PURGE,24,1
156291222,5,P,201509010650,CYTEST1202,POST-PURGE,18,3
156291222,5,P,201509010650,CYTEST1202,POST-PURGE,17,2
156291222,5,P,201509010650,CYTEST1202,POST-PURGE,18,4
156291254,7,P,201509010653,CYTEST1202,POST-PURGE,23,1
156291254,7,P,201509010653,CYTEST1202,POST-PURGE,18,2
156291254,7,P,201509010654,CYTEST1202,POST-PURGE,18,3
156291254,7,P,201509010654,CYTEST1202,POST-PURGE,17,4
156290454,9,P,201509010657,CYTEST1202,POST-PURGE,24,1
156290454,9,P,201509010657,CYTEST1202,POST-PURGE,18,2
156290454,9,P,201509010658,CYTEST1202,POST-PURGE,18,3
156290454,9,P,201509010658,CYTEST1202,POST-PURGE,17,4
156290514,11,P,201509010701,CYTEST1202,POST-PURGE,24,1
156290514,11,P,201509010701,CYTEST1202,POST-PURGE,18,2
156290514,11,P,201509010701,CYTEST1202,POST-PURGE,18,3
156290514,11,P,201509010702,CYTEST1202,POST-PURGE,17,4
156290404,4,P,201509010706,CYTEST1202,POST-PURGE,24,1
156290404,4,P,201509010706,CYTEST1202,POST-PURGE,18,2
156290404,4,P,201509010707,CYTEST1202,POST-PURGE,18,3
156290404,4,P,201509010707,CYTEST1202,POST-PURGE,18,4
156290378,8,P,201509010715,CYTEST1202,POST-PURGE,24,1
156290378,8,P,201509010715,CYTEST1202,POST-PURGE,17,2
156290378,8,P,201509010716,CYTEST1202,POST-PURGE,18,3
156290378,8,P,201509010716,CYTEST1202,POST-PURGE,18,4
156290348,1,P,201509010755,CYTEST1202,POST-PURGE,24,1
156290348,1,P,201509010755,CYTEST1202,POST-PURGE,18,2
156290348,1,P,201509010756,CYTEST1202,POST-PURGE,17,3
156290348,1,P,201509010756,CYTEST1202,POST-PURGE,18,4
156290418,5,P,201509010800,CYTEST1202,POST-PURGE,24,1
156290418,5,P,201509010800,CYTEST1202,POST-PURGE,18,2
156290418,5,P,201509010801,CYTEST1202,POST-PURGE,18,3
156290418,5,P,201509010801,CYTEST1202,POST-PURGE,18,4
156290506,9,P,201509010807,CYTEST1202,POST-PURGE,24,1
156290506,9,P,201509010808,CYTEST1202,POST-PURGE,18,2
156290506,9,P,201509010808,CYTEST1202,POST-PURGE,18,3
