ID,CREATION_DT,BU,S_START_DT,S_END_DT,DEPTO,PRODUCT,PROCESS,MACHINE,SAMPLE_TIME_SPAN,TOTAL_PRODUCTION_TIME,BUILD_QTY,AVG_CT,AVAIL,PERF,YIELD,OEE
18714,28-JUL-15,1,23-JUL-15,24-JUL-15,LR4 Shim,all,SiLens,CYBOND55,450,350,14,25,.7776362962962962962962962962962962962978,.7001273565000871587117275618707783987359,.9285714285714285714285714285714285714286,.5055555555555555555555555555555555555555
18715,28-JUL-15,1,23-JUL-15,24-JUL-15,LR4 Shim,all,SiLens,CYBOND14,450,363,15,24.21,.8071423333333333333333333333333333333333,.722714333324936081079462647438886243525,.9333333333333333333333333333333333333333,.5444444444444444444444444444444444444444
18716,28-JUL-15,1,23-JUL-15,24-JUL-15,LR4 Shim,all,SiLens,CYBOND59,450,371,13,28.56,.8251181481481481481481481481481481481489,.6127068671198153889521545511551881010076,1,.5055555555555555555555555555555555555555
18717,28-JUL-15,1,23-JUL-15,24-JUL-15,LR4 Shim,all,SiLens,CYBOND38,450,445,21,21.17,.9880362962962962962962962962962962962956,.8265553297262283811735811175028057898615,1,.8166666666666666666666666666666666666668
18718,28-JUL-15,1,23-JUL-15,24-JUL-15,LR4 Shim,all,SiLens,CYBOND63,450,373,17,21.91,.8278218518518518518518518518518518518556,.7986151967747578540560927628461840286768,1,.6611111111111111111111111111111111111112
18719,28-JUL-15,1,23-JUL-15,24-JUL-15,LR4 Shim,all,SiLens,CYBOND58,450,415,17,24.39,.9212166666666666666666666666666666666689,.7176499677359048118731870292306671732414,1,.6611111111111111111111111111111111111111
18720,28-JUL-15,1,23-JUL-15,24-JUL-15,LR4 Shim,all,SiLens,CYBOND3,450,440,19,23.15,.9774437037037037037037037037037037037,.755940097715204209923238924814463123388,1,.7388888888888888888888888888888888888887
18721,28-JUL-15,1,23-JUL-15,24-JUL-15,LR4 Shim,all,SiLens,CYBOND56,450,388,15,25.84,.8613803703703703703703703703703703703733,.6772076000321619863380353756051333625978,1,.5833333333333333333333333333333333333333
18722,28-JUL-15,1,23-JUL-15,24-JUL-15,LR4 Shim,all,SiLens,CYBOND57,450,400,18,22.23,.8893922592592592592592592592592592592578,.787054297709992645414840287735391179105,1,.7000000000000000000000000000000000000002
18723,28-JUL-15,1,23-JUL-15,24-JUL-15,LR4 Shim,all,SiLens,CYBOND60,450,329,13,25.3,.7308237037037037037037037037037037037044,.6917613002882592143618768066879381154894,.9230769230769230769230769230769230769231,.4666666666666666666666666666666666666666
18732,28-JUL-15,1,23-JUL-15,23-JUL-15,LR4 Shim,all,SiLens,CYBOND57,480,294,12,24.52,.6130239583333333333333333333333333333333,.7136752064135611883032032122181195338003,1,.4375000000000000000000000000000000000001
18733,28-JUL-15,1,23-JUL-15,23-JUL-15,LR4 Shim,all,SiLens,CYBOND60,480,327,10,32.71,.6814006944444444444444444444444444444438,.5350498411666328651052723301777282700978,1,.3645833333333333333333333333333333333334
18734,28-JUL-15,1,23-JUL-15,23-JUL-15,LR4 Shim,all,SiLens,CYBOND55,510,334,15,22.26,.6547936928104575163398692810457516339882,.7860580943346572215256943425826834546035,.9333333333333333333333333333333333333333,.4803921568627450980392156862745098039215
18735,28-JUL-15,1,23-JUL-15,23-JUL-15,LR4 Shim,all,SiLens,CYBOND14,510,355,14,25.36,.6961582679738562091503267973856209150314,.690061698557296925991070601620668577779,1,.4803921568627450980392156862745098039216
18736,28-JUL-15,1,23-JUL-15,23-JUL-15,LR4 Shim,all,SiLens,CYBOND59,510,481,20,24.05,.9430055555555555555555555555555555555588,.7277523507267300319483281969034484025291,1,.6862745098039215686274509803921568627451
18737,28-JUL-15,1,23-JUL-15,23-JUL-15,LR4 Shim,all,SiLens,CYBOND38,510,446,21,21.22,.8736486928104575163398692810457516339863,.8248031974683591653216077864414324269234,1,.7205882352941176470588235294117647058825
18738,28-JUL-15,1,23-JUL-15,23-JUL-15,LR4 Shim,all,SiLens,CYBOND63,510,441,19,23.22,.864895098039215686274509803921568627451,.7538033060792819711786423152303407531006,1,.6519607843137254901960784313725490196079
18739,28-JUL-15,1,23-JUL-15,23-JUL-15,LR4 Shim,all,SiLens,CYBOND58,510,406,18,22.53,.7952685947712418300653594771241830065333,.7766521435455337385704233851357573564496,1,.6176470588235294117647058823529411764706
18740,28-JUL-15,1,23-JUL-15,23-JUL-15,LR4 Shim,all,SiLens,CYBOND3,510,428,17,25.16,.8386539215686274509803921568627450980392,.6955590599782330929465635290913193060307,1,.5833333333333333333333333333333333333332
18741,28-JUL-15,1,23-JUL-15,23-JUL-15,LR4 Shim,all,SiLens,CYBOND56,510,447,16,27.91,.8755797385620915032679738562091503267961,.6270355327599939386565166533919263203398,.9375,.5147058823529411764705882352941176470588
18742,28-JUL-15,1,23-JUL-15,23-JUL-15,LR4 Shim,all,SiLens,CYBOND57,510,293,13,22.57,.5752669934640522875816993464052287581706,.7754285165683226373431603512321928379937,1,.4460784313725490196078431372549019607844
