SERIAL_NUM,PASS_FAIL,PROCESS_DATE,SYSTEM_ID,STEP_NAME,CYCLE_TIME
156372092,P,201509230823,CYBOND56,silens,2897.44
156371864,P,201509231034,CYBOND56,silens,1062.69
156367748,P,201509231106,CYBOND56,silens,1926.14
156368550,P,201509231241,CYBOND56,silens,2073.83
156369652,P,201509231318,CYBOND56,silens,1911.91
156367640,P,201509231345,CYBOND56,silens,1645.53
156367694,P,201509231411,CYBOND56,silens,1543.41
156369780,P,201509231451,CYBOND56,silens,2410.05
156368452,P,201509231540,CYBOND56,silens,2947.83
156368570,P,201509231603,CYBOND56,silens,1355.8
156371934,P,201509231632,CYBOND56,silens,1758.84
156369812,P,201509231702,CYBOND56,silens,1779.27
156378262,P,201509231736,CYBOND56,silens,1677.83
156378212,P,201509231810,CYBOND56,silens,2024.88
156378132,P,201509231847,CYBOND56,silens,2239.3
156376310,P,201509231912,CYBOND56,silens,1483.58
156378182,P,201509231938,CYBOND56,silens,1558.69
156376342,P,201509232003,CYBOND56,silens,1498.45
156376358,P,201509232028,CYBOND56,silens,1491.25
156376356,P,201509232059,CYBOND56,silens,1886.36
156376486,P,201509232132,CYBOND56,silens,1956.77
156382548,P,201509232205,CYBOND56,silens,1802.61
156379018,P,201509232239,CYBOND56,silens,2026.81
156379002,P,201509232312,CYBOND56,silens,1972.56
156380124,P,201509232337,CYBOND56,silens,1509.52
156382428,P,201509240014,CYBOND56,silens,2235.88
156382310,P,201509240125,CYBOND56,silens,641.531
156382302,P,201509240150,CYBOND56,silens,1480.14
156382334,P,201509240251,CYBOND56,silens,1361.89
156382362,P,201509240303,CYBOND56,silens,626.672
156375162,P,201509240338,CYBOND56,silens,1893.95
156376028,P,201509240408,CYBOND56,silens,1647.94
156377742,P,201509240439,CYBOND56,silens,1849.89
156379910,P,201509240508,CYBOND56,silens,1718.34
156377770,P,201509240529,CYBOND56,silens,1244.63
156379940,P,201509240557,CYBOND56,silens,1555.13
156379970,P,201509240709,CYBOND56,silens,2213.7
