SERIAL_NUM,PASS_FAIL,PROCESS_DATE,SYSTEM_ID,STEP_NAME,CYCLE_TIME
ES15400012,PASS,201510061414,EN2,ETALON,1166.999999999999999999999999999999999996
ES15400022,PASS,201510062214,EN2,ETALON,3605.000000000000000000000000000000000004
ES15400013,PASS,201510061350,EN2,ETALON,1610.000000000000000000000000000000000003
ES15400020,PASS,201510061808,EN2,ETALON,3222.999999999999999999999999999999999997
ES15400014,PASS,201510061320,EN2,ETALON,2099.000000000000000000000000000000000002
ES15400025,PASS,201510070017,EN2,ETALON,0
ES15400027,PASS,201510070036,EN2,ETALON,1
ES15400026,PASS,201510070102,EN2,ETALON,0
ES15400019,PASS,201510061703,EN2,ETALON,3259
ES15400018,PASS,201510061609,EN2,ETALON,2
ES15400029,PASS,201510062347,EN2,ETALON,1
ES15400023,PASS,201510062243,EN2,ETALON,4
ES15400021,PASS,201510062110,EN2,ETALON,2359.999999999999999999999999999999999999
ES15400028,PASS,201510070125,EN2,ETALON,1
ES15400016,PASS,201510061725,DR2,WELDING,1120.999999999999999999999999999999999997
ES15400021,PASS,201510070114,DR2,WELDING,29.99999999999999999999999999999999999998
ES15400026,PASS,201510070452,DR2,WELDING,2613.999999999999999999999999999999999997
ES15400025,PASS,201510070352,DR2,WELDING,1
ES15400012,PASS,201510061559,DR2,WELDING,1868.999999999999999999999999999999999996
ES15400018,FAIL,201510062011,DR2,WELDING,3075.000000000000000000000000000000000002
 S153600145,PASS,201510062337,DR2,WELDING,1
ES15400022,FAIL,201510070052,DR2,WELDING,4
S153700167,,201510070742,DR2,VERIFICATION,2
ES15400025,PASS,201510071213,DR2,VERIFICATION,5
ES15400012,PASS,201510071255,DR2,VERIFICATION,4
ES15400028,FAIL,201510070537,DR2,WELDING,1783.000000000000000000000000000000000002
S153600145,PASS,201510071022,DR2,VERIFICATION,1
ES15400021,PASS,201510071101,DR2,VERIFICATION,1
ES15400020,FAIL,201510062146,DR2,WELDING,1217.999999999999999999999999999999999998
