SERIAL_NUM,PASS_FAIL,PROCESS_DATE,SYSTEM_ID,STEP_NAME,CYCLE_TIME
150804032,P,201510011003,1018EN00,162X_STD,183
151304260,P,201510011307,1018EN00,162X_STD,182
153900294,P,201510011203,1018EN00,1625L0,222
153809728,P,201510011241,1018EN00,1655L048,228
153809715,P,201510011258,1018EN00,1655L048,109
153808071,P,201510011207,1018EN00,1655L036,220
153900288,P,201510011211,1018EN00,1625L0,184
153900289,P,201510011215,1018EN00,1625L0,182
153900379,P,201510011219,1018EN00,1625L0,184
153807745,P,201510011223,1018EN00,1655L034,211
153808072,P,201510011228,1018EN00,1655L036,194
153809146,P,201510011232,1018EN00,1655L033,180
153809710,P,201510011237,1018EN00,1655L048,182
153809717,P,201510011245,1018EN00,1655L048,183
153809715,F,201510011250,1018EN00,T165X,210
153809715,P,201510011252,1018EN00,1655L048,44
153809715,F,201510011255,1018EN00,T165X,185
153809847,P,201510011337,1018EN00,1655L061,181
153905210,P,201510011021,1018EN00,1626L0159,44
153905214,P,201510011022,1018EN00,1626L0159,52
153905216,P,201510011024,1018EN00,1626L0159,54
153904540,P,201510011026,1018EN00,1626L0159,55
153905218,F,201510011028,1018EN00,1626L0159,54
153809853,P,201510011323,1018EN00,1655L061,207
153905245,P,201510011031,1018EN00,1626L0159,43
153905242,P,201510011034,1018EN00,1626L0159,79
153904539,P,201510011036,1018EN00,1626L0159,43
153905251,P,201510011039,1018EN00,1626L0159,43
153910119,F,201510011041,1018EN00,1655L045,44
153905219,P,201510011043,1018EN00,1626L0159,43
153905247,P,201510011044,1018EN00,1626L0159,44
153809131,F,201510011047,1018EN00,1655L033,102
153905244,P,201510011049,1018EN00,1626L0159,52
153809842,P,201510011327,1018EN00,1655L061,182
153809848,P,201510011332,1018EN00,1655L061,179
153904542,P,201510011051,1018EN00,1626L0159,54
153905217,P,201510011052,1018EN00,1626L0159,43
153905207,P,201510011054,1018EN00,1626L0159,44
153905206,P,201510011056,1018EN00,1626L0159,44
153809851,P,201510011342,1018EN00,1655L061,184
153900307,P,201510011347,1018EN00,1625L0,196
153907539,P,201510011058,1018EN00,1655L038,57
153907543,P,201510011101,1018EN00,1655L038,56
153905241,P,201510011103,1018EN00,1626L0159,60
153809840,P,201510011351,1018EN00,1655L061,182
153900313,P,201510011356,1018EN00,1625L0,182
153809664,P,201510011401,1018EN00,1655L048,214
153905204,P,201510011105,1018EN00,1626L0159,43
E15340025,P,201510011112,1018EN00,1625L422,189
E15340013,P,201510011117,1018EN00,1625L422,188
E15340017,P,201510011121,1018EN00,1625L422,182
153908459,P,201510011124,1018EN00,1655L0T,63
153907544,P,201510011126,1018EN00,1655L038,70
153907541,P,201510011127,1018EN00,1655L038,57
153905213,P,201510011129,1018EN00,1626L0159,44
153908461,P,201510011131,1018EN00,1655L0T,44
153905211,P,201510011133,1018EN00,1626L0159,58
153905246,P,201510011135,1018EN00,1626L0159,61
153905252,P,201510011138,1018EN00,1626L0159,78
153907531,P,201510011140,1018EN00,1655L038,68
153907535,P,201510011142,1018EN00,1655L038,63
153907533,P,201510011144,1018EN00,1655L038,71
153907529,P,201510011146,1018EN00,1655L038,44
153907532,P,201510011148,1018EN00,1655L038,71
153907538,P,201510011149,1018EN00,1655L038,43
153907537,P,201510011151,1018EN00,1655L038,54
153907542,P,201510011154,1018EN00,1655L038,44
153709392,P,201510011158,1018EN00,1655L058,199
153809715,F,201510011302,1018EN00,T165X,183
153909996,P,201510011005,1018EN00,1655L0T,57
153909997,P,201510011008,1018EN00,1655L0T,54
153905205,P,201510011010,1018EN00,1626L0159,43
153805061,P,201510011310,1018EN00,1626L3161,44
153905200,P,201510011012,1018EN00,1626L0159,44
153905215,P,201510011014,1018EN00,1626L0159,44
153905212,P,201510011016,1018EN00,1626L0159,55
153905218,F,201510011017,1018EN00,1626L0159,44
153905201,P,201510011019,1018EN00,1626L0159,44
153805061,P,201510011314,1018EN00,1626L3161,190
153809850,P,201510011319,1018EN00,1655L061,182
