SERIAL_NUM,PASS_FAIL,PROCESS_DATE,SYSTEM_ID,STEP_NAME,CYCLE_TIME
156418566,P,201509301428,CYTEST1201,POST-PURGE,215
156414528,P,201509301429,CYTEST1202,POST-PURGE,249
156418602,P,201509301432,CYTEST1201,POST-PURGE,214
156414614,P,201509301433,CYTEST1202,POST-PURGE,307
156418638,P,201509301437,CYTEST1201,POST-PURGE,214
156414458,P,201509301438,CYTEST1202,POST-PURGE,215
156418708,F,201509301441,CYTEST1201,POST-PURGE,211
156414524,P,201509301442,CYTEST1202,POST-PURGE,216
156418744,P,201509301444,CYTEST1201,POST-PURGE,215
156414576,P,201509301445,CYTEST1202,POST-PURGE,283
156418948,P,201509301449,CYTEST1201,POST-PURGE,213
156414622,P,201509301450,CYTEST1202,POST-PURGE,216
156414428,P,201509301453,CYTEST1201,POST-PURGE,214
156414646,P,201509301454,CYTEST1202,POST-PURGE,214
156414454,P,201509301456,CYTEST1201,POST-PURGE,216
156414832,P,201509301457,CYTEST1202,POST-PURGE,228
156414508,P,201509301500,CYTEST1201,POST-PURGE,217
156416726,P,201509301501,CYTEST1202,POST-PURGE,215
156414556,P,201509301503,CYTEST1201,POST-PURGE,215
156416832,P,201509301505,CYTEST1202,POST-PURGE,215
156414590,P,201509301507,CYTEST1201,POST-PURGE,217
156416898,P,201509301508,CYTEST1202,POST-PURGE,259
156414764,P,201509301511,CYTEST1201,POST-PURGE,214
156414996,P,201509301515,CYTEST1201,POST-PURGE,213
156416638,P,201509301519,CYTEST1201,POST-PURGE,213
156416704,P,201509301522,CYTEST1201,POST-PURGE,215
156416750,P,201509301526,CYTEST1201,POST-PURGE,213
156416800,P,201509301529,CYTEST1201,POST-PURGE,214
156416924,P,201509301533,CYTEST1201,POST-PURGE,214
156412604,P,201509301545,CYTEST1201,POST-PURGE,215
156412592,P,201509301546,CYTEST1202,POST-PURGE,248
156412660,P,201509301549,CYTEST1201,POST-PURGE,214
156412636,P,201509301550,CYTEST1202,POST-PURGE,220
156412718,P,201509301553,CYTEST1201,POST-PURGE,270
156412674,P,201509301556,CYTEST1202,POST-PURGE,225
156412954,P,201509301557,CYTEST1201,POST-PURGE,226
156412704,P,201509301600,CYTEST1202,POST-PURGE,230
156412632,P,201509301601,CYTEST1201,POST-PURGE,231
156412740,P,201509301604,CYTEST1202,POST-PURGE,226
156412668,P,201509301605,CYTEST1201,POST-PURGE,226
156412986,P,201509301607,CYTEST1202,POST-PURGE,226
156412702,P,201509301609,CYTEST1201,POST-PURGE,226
156413032,P,201509301611,CYTEST1202,POST-PURGE,227
156412738,P,201509301612,CYTEST1201,POST-PURGE,228
156412620,P,201509301615,CYTEST1202,POST-PURGE,217
156415326,P,201509301621,CYTEST1201,POST-PURGE,215
156412650,P,201509301621,CYTEST1202,POST-PURGE,249
156415636,P,201509301624,CYTEST1201,POST-PURGE,215
156412684,P,201509301625,CYTEST1202,POST-PURGE,216
156415674,P,201509301628,CYTEST1201,POST-PURGE,218
156412724,P,201509301629,CYTEST1202,POST-PURGE,215
156415698,P,201509301631,CYTEST1201,POST-PURGE,214
156412774,P,201509301633,CYTEST1202,POST-PURGE,215
156415040,P,201509301635,CYTEST1201,POST-PURGE,215
156412542,P,201509301636,CYTEST1202,POST-PURGE,215
156415138,P,201509301639,CYTEST1201,POST-PURGE,213
156416962,P,201509301640,CYTEST1202,POST-PURGE,215
156415174,P,201509301642,CYTEST1201,POST-PURGE,274
156415320,P,201509301646,CYTEST1202,POST-PURGE,224
156415206,F,201509301647,CYTEST1201,POST-PURGE,221
156415460,P,201509301649,CYTEST1202,POST-PURGE,230
156415238,P,201509301650,CYTEST1201,POST-PURGE,234
156415644,P,201509301653,CYTEST1202,POST-PURGE,215
156415014,P,201509301717,CYTEST1201,POST-PURGE,216
156415704,P,201509301718,CYTEST1202,POST-PURGE,249
156412572,P,201509301721,CYTEST1201,POST-PURGE,215
156412628,P,201509301722,CYTEST1202,POST-PURGE,216
156412648,P,201509301724,CYTEST1201,POST-PURGE,215
156412666,P,201509301726,CYTEST1202,POST-PURGE,215
156412714,P,201509301728,CYTEST1201,POST-PURGE,217
156412752,P,201509301729,CYTEST1202,POST-PURGE,364
156412924,P,201509301734,CYTEST1201,POST-PURGE,214
156412560,P,201509301735,CYTEST1202,POST-PURGE,218
156415168,P,201509301738,CYTEST1201,POST-PURGE,214
156415198,P,201509301741,CYTEST1201,POST-PURGE,212
156415224,P,201509301745,CYTEST1201,POST-PURGE,212
156415264,P,201509301748,CYTEST1201,POST-PURGE,212
156414826,P,201509301752,CYTEST1201,POST-PURGE,213
156411014,P,201509301755,CYTEST1201,POST-PURGE,214
156411032,P,201509301759,CYTEST1201,POST-PURGE,214
156410570,P,201509301803,CYTEST1201,POST-PURGE,215
156410594,P,201509301806,CYTEST1201,POST-PURGE,217
156410616,P,201509301811,CYTEST1201,POST-PURGE,213
156410666,P,201509301814,CYTEST1201,POST-PURGE,214
156407396,P,201509301823,CYTEST1201,POST-PURGE,217
156407570,P,201509301823,CYTEST1202,POST-PURGE,250
156411934,P,201509301826,CYTEST1201,POST-PURGE,215
156404934,P,201509301827,CYTEST1202,POST-PURGE,222
156412588,P,201509301830,CYTEST1201,POST-PURGE,219
