SERIAL_NUM,PASS_FAIL,PROCESS_DATE,SYSTEM_ID,STEP_NAME,CYCLE_TIME
156376668,P,201509190411,CYBOND6,silens,640.5
156376714,P,201509190411,CYBOND13,silens,723.375
156376636,P,201509190411,CYBOND76,silens,523.399
156377284,P,201509190416,CYBOND50,silens,536.047
156376618,P,201509190419,CYBOND61,silens,997.344
156376638,P,201509190419,CYBOND76,silens,490.295
156376670,P,201509190420,CYBOND6,silens,574.266
156376716,P,201509190423,CYBOND13,silens,708.266
156377286,P,201509190423,CYBOND50,silens,468.406
156376672,P,201509190430,CYBOND6,silens,563.547
156376640,P,201509190430,CYBOND76,silens,650.977
156377288,P,201509190431,CYBOND50,silens,444.625
156376718,P,201509190436,CYBOND13,silens,710.438
156376736,P,201509190438,CYBOND61,silens,1031.58
156376642,P,201509190438,CYBOND76,silens,425.883
156377290,P,201509190439,CYBOND50,silens,505.312
156376674,P,201509190440,CYBOND6,silens,599.422
156377292,P,201509190447,CYBOND50,silens,442.235
156376720,P,201509190448,CYBOND13,silens,688.078
156376644,P,201509190451,CYBOND76,silens,727.105
156376738,P,201509190452,CYBOND61,silens,809.125
156377234,P,201509190453,CYBOND6,silens,695.922
156377294,P,201509190457,CYBOND50,silens,601.562
156376646,P,201509190458,CYBOND76,silens,420.844
156376722,P,201509190500,CYBOND13,silens,746.031
156377260,P,201509190504,CYBOND6,silens,645.547
156376740,P,201509190505,CYBOND61,silens,762.062
156377298,P,201509190505,CYBOND50,silens,461.515
156377210,P,201509190509,CYBOND76,silens,508.751
156376724,P,201509190513,CYBOND13,silens,729.984
156377300,P,201509190513,CYBOND50,silens,453.782
156377262,P,201509190518,CYBOND6,silens,802.938
156376742,P,201509190518,CYBOND61,silens,663
156377212,P,201509190518,CYBOND76,silens,516.488
156377302,P,201509190521,CYBOND50,silens,481.406
156377214,P,201509190526,CYBOND76,silens,456.787
156376726,P,201509190526,CYBOND13,silens,695.735
156377264,P,201509190530,CYBOND6,silens,775.078
156376744,P,201509190531,CYBOND61,silens,783
156377216,P,201509190533,CYBOND76,silens,419.253
156377230,P,201509190533,CYBOND50,silens,596.89
156376728,P,201509190538,CYBOND13,silens,685.547
156377236,P,201509190541,CYBOND50,silens,441.797
156377218,P,201509190541,CYBOND76,silens,504.461
156376746,P,201509190544,CYBOND61,silens,780.828
156377266,P,201509190544,CYBOND6,silens,672.094
156377238,P,201509190548,CYBOND50,silens,437.25
156377220,P,201509190548,CYBOND76,silens,430.406
156377186,P,201509190551,CYBOND13,silens,700.562
156377268,P,201509190554,CYBOND6,silens,598.953
156377240,P,201509190555,CYBOND50,silens,443.313
156377222,P,201509190557,CYBOND76,silens,448.206
156376748,P,201509190559,CYBOND61,silens,945.719
156377242,P,201509190603,CYBOND50,silens,435.5
156377188,P,201509190603,CYBOND13,silens,726.313
156377224,P,201509190604,CYBOND76,silens,413.792
156377270,P,201509190604,CYBOND6,silens,597.328
156377226,P,201509190612,CYBOND76,silens,521.776
156377244,P,201509190618,CYBOND50,silens,927.875
156377246,P,201509190650,CYBOND50,silens,1867.83
156376750,P,201509190658,CYBOND61,silens,798.39
156377228,P,201509190707,CYBOND76,silens,1312.67
156377248,P,201509190709,CYBOND50,silens,640.094
156377272,P,201509190711,CYBOND6,silens,1543.66
156376752,P,201509190713,CYBOND61,silens,792.375
156377250,P,201509190721,CYBOND50,silens,711.172
156377274,P,201509190723,CYBOND6,silens,628.954
156376754,P,201509190724,CYBOND61,silens,634.844
156377712,P,201509190725,CYBOND76,silens,479.454
156377190,P,201509190728,CYBOND13,silens,777.078
156377252,P,201509190729,CYBOND50,silens,497.484
156377276,P,201509190735,CYBOND6,silens,732.032
156377714,P,201509190737,CYBOND76,silens,728.587
156377688,P,201509190740,CYBOND61,silens,697.078
156377610,P,201509190742,CYBOND50,silens,507.984
156377192,P,201509190742,CYBOND13,silens,732.297
156377612,P,201509190751,CYBOND50,silens,528.484
156377716,P,201509190752,CYBOND76,silens,911.077
156377690,P,201509190755,CYBOND61,silens,871.047
156377194,P,201509190756,CYBOND13,silens,796.266
156377614,P,201509190759,CYBOND50,silens,475.391
156377638,P,201509190759,CYBOND6,silens,817.375
156377718,P,201509190800,CYBOND76,silens,485.631
156377692,P,201509190805,CYBOND61,silens,641.437
156377616,P,201509190807,CYBOND50,silens,454
156377196,P,201509190807,CYBOND13,silens,694.531
156377720,P,201509190808,CYBOND76,silens,442.965
156377640,P,201509190811,CYBOND6,silens,683.11
156377618,P,201509190814,CYBOND50,silens,440.078
156377694,P,201509190817,CYBOND61,silens,678.25
156377722,P,201509190819,CYBOND76,silens,623.13
156377198,P,201509190819,CYBOND13,silens,707.687
156377620,P,201509190821,CYBOND50,silens,440.047
156377724,P,201509190827,CYBOND76,silens,504.569
156377622,P,201509190830,CYBOND50,silens,449.641
156377696,P,201509190832,CYBOND61,silens,790.297
156377200,P,201509190833,CYBOND13,silens,728.672
156377624,P,201509190837,CYBOND50,silens,455.312
156377698,P,201509190843,CYBOND61,silens,667.25
156377626,P,201509190845,CYBOND50,silens,450.656
156377202,P,201509190847,CYBOND13,silens,780.578
156377726,P,201509190847,CYBOND76,silens,1189.45
156377628,P,201509190852,CYBOND50,silens,439.797
156377664,P,201509190903,CYBOND50,silens,443.187
156377666,P,201509190910,CYBOND50,silens,459.891
156377668,P,201509190918,CYBOND50,silens,443.11
156377670,P,201509190925,CYBOND50,silens,453.547
156377672,P,201509190933,CYBOND50,silens,481.125
156377674,P,201509190941,CYBOND50,silens,465.89
156377728,P,201509190942,CYBOND76,silens,618.014
156377204,P,201509190947,CYBOND13,silens,918.203
156377700,P,201509190948,CYBOND61,silens,940.687
156377676,P,201509190949,CYBOND50,silens,446.344
156377730,P,201509190951,CYBOND76,silens,430.922
156377678,P,201509190957,CYBOND50,silens,453.781
156377702,P,201509191002,CYBOND61,silens,758.75
156377926,P,201509191003,CYBOND76,silens,547.954
156377680,P,201509191004,CYBOND50,silens,458.25
156377956,P,201509191009,CYBOND13,silens,1183.59
156377936,P,201509191010,CYBOND76,silens,429.517
156377682,P,201509191013,CYBOND50,silens,487.922
156377704,P,201509191013,CYBOND61,silens,668.14
156377938,P,201509191017,CYBOND76,silens,385.713
156377978,P,201509191022,CYBOND50,silens,446.5
156377958,P,201509191022,CYBOND13,silens,763.891
156377706,P,201509191025,CYBOND61,silens,736.828
156377984,P,201509191029,CYBOND50,silens,456.375
156377986,P,201509191040,CYBOND50,silens,622.719
156377988,P,201509191047,CYBOND50,silens,439.078
156377940,P,201509191051,CYBOND76,silens,475.211
156377960,P,201509191054,CYBOND13,silens,679.828
156377990,P,201509191056,CYBOND50,silens,555.172
156377992,P,201509191120,CYBOND50,silens,1399.98
156377942,P,201509191122,CYBOND76,silens,1833.81
156378002,P,201509191125,CYBOND61,silens,2494.25
156377644,F,201509191125,CYBOND6,silens,2523.14
156377962,P,201509191126,CYBOND13,silens,1839.8
156377994,P,201509191128,CYBOND50,silens,427.219
156377996,P,201509191136,CYBOND50,silens,496.156
156377998,P,201509191143,CYBOND50,silens,437.172
156378004,P,201509191152,CYBOND61,silens,676.265
156378000,P,201509191152,CYBOND50,silens,523.594
156377646,F,201509191154,CYBOND6,silens,805.032
